time,open,high,low,close
2024-04-14 22:00,2369.400,2389.600,2363.000,2371.800
2024-04-15 02:00,2371.800,2380.800,2369.400,2377.300
2024-04-15 06:00,2377.300,2377.700,2360.600,2366.100
2024-04-15 10:00,2366.200,2378.200,2359.600,2365.200
2024-04-15 14:00,2365.100,2387.300,2340.200,2382.200
2024-04-15 18:00,2382.300,2408.500,2380.400,2400.700
2024-04-15 23:00,2400.600,2404.500,2395.600,2402.600
2024-04-16 03:00,2402.400,2405.900,2384.800,2389.100
2024-04-16 07:00,2389.100,2391.700,2379.200,2386.400
2024-04-16 11:00,2386.400,2399.800,2379.600,2399.600
2024-04-16 15:00,2399.400,2414.800,2394.300,2409.000
2024-04-16 19:00,2408.900,2412.000,2395.200,2398.800
2024-04-17 00:00,2398.900,2402.300,2396.900,2398.000
2024-04-17 04:00,2397.800,2399.400,2389.000,2398.700
2024-04-17 08:00,2398.800,2410.600,2398.800,2403.600
2024-04-17 12:00,2403.700,2412.000,2394.100,2398.400
2024-04-17 16:00,2398.500,2400.800,2376.500,2388.400
2024-04-17 20:00,2388.400,2389.100,2370.700,2384.800
2024-04-18 01:00,2384.600,2391.200,2378.700,2389.700
2024-04-18 05:00,2389.800,2395.800,2388.500,2394.800
2024-04-18 09:00,2394.800,2402.400,2392.100,2400.700
2024-04-18 13:00,2400.600,2408.000,2384.300,2403.100
2024-04-18 17:00,2403.200,2404.500,2392.000,2394.400
2024-04-18 22:00,2394.000,2433.300,2388.500,2424.900
2024-04-19 02:00,2424.800,2430.000,2393.700,2395.800
2024-04-19 06:00,2395.900,2408.800,2392.500,2395.700
2024-04-19 10:00,2395.700,2401.700,2386.800,2393.400
2024-04-19 14:00,2393.300,2417.100,2393.200,2408.600
2024-04-19 18:00,2408.700,2413.200,2396.000,2398.300
2024-04-21 23:00,2398.300,2402.000,2386.700,2386.800
2024-04-22 03:00,2386.800,2386.800,2365.200,2369.700
2024-04-22 07:00,2369.700,2377.700,2369.000,2371.500
2024-04-22 11:00,2371.600,2371.600,2344.700,2355.200
2024-04-22 15:00,2355.400,2355.900,2338.200,2341.400
2024-04-22 19:00,2341.500,2347.600,2339.500,2347.400
2024-04-23 00:00,2347.200,2347.900,2308.700,2316.400
2024-04-23 04:00,2315.900,2328.400,2312.300,2322.700
2024-04-23 08:00,2322.700,2323.300,2304.600,2315.900
2024-04-23 12:00,2315.900,2345.800,2315.000,2336.900
2024-04-23 16:00,2337.000,2345.200,2334.900,2335.900
2024-04-23 20:00,2336.100,2337.900,2333.200,2334.400
2024-04-24 01:00,2334.500,2343.600,2329.000,2339.900
2024-04-24 05:00,2339.800,2344.400,2329.100,2332.400
2024-04-24 09:00,2332.300,2336.700,2324.800,2336.500
2024-04-24 13:00,2336.600,2350.900,2329.000,2338.600
2024-04-24 17:00,2338.500,2344.000,2326.700,2328.900
2024-04-24 22:00,2327.400,2332.500,2327.200,2330.800
2024-04-25 02:00,2330.800,2333.900,2316.400,2331.300
2024-04-25 06:00,2331.400,2341.300,2329.500,2337.200
2024-04-25 10:00,2337.300,2347.400,2323.800,2331.100
2024-04-25 14:00,2331.300,2357.600,2329.200,2344.500
2024-04-25 18:00,2344.600,2348.800,2342.900,2344.700
2024-04-25 23:00,2344.600,2348.400,2338.100,2345.900
2024-04-26 03:00,2346.000,2355.000,2344.200,2352.700
2024-04-26 07:00,2352.700,2364.400,2349.800,2359.700
2024-04-26 11:00,2359.700,2363.900,2340.200,2345.300
2024-04-26 15:00,2345.500,2353.200,2343.000,2352.600
2024-04-26 19:00,2352.500,2352.600,2344.000,2347.400
2024-04-29 00:00,2347.500,2347.800,2331.000,2339.700
2024-04-29 04:00,2339.400,2349.200,2338.400,2348.800
2024-04-29 08:00,2348.800,2356.000,2346.500,2348.400
2024-04-29 12:00,2348.400,2351.200,2336.800,2349.500
2024-04-29 16:00,2349.400,2358.900,2344.600,2347.400
2024-04-29 20:00,2347.400,2348.900,2343.100,2345.200
2024-04-30 01:00,2345.300,2347.400,2336.000,2337.600
2024-04-30 05:00,2337.700,2338.000,2321.400,2323.800
2024-04-30 09:00,2323.700,2329.000,2315.000,2316.900
2024-04-30 13:00,2316.800,2324.400,2304.000,2305.700
2024-04-30 17:00,2305.700,2308.500,2296.200,2297.300
2024-04-30 22:00,2298.200,2304.000,2295.800,2298.400
2024-05-01 02:00,2298.300,2299.100,2291.700,2298.000
2024-05-01 06:00,2298.100,2304.000,2293.800,2302.700
2024-05-01 10:00,2302.600,2314.300,2299.600,2314.000
2024-05-01 14:00,2314.000,2321.500,2308.000,2310.400
2024-05-01 18:00,2310.400,2339.500,2305.800,2330.400
2024-05-01 23:00,2330.600,2336.100,2328.000,2329.600
2024-05-02 03:00,2329.600,2330.300,2321.800,2323.200
2024-05-02 07:00,2323.000,2324.500,2304.100,2308.600
2024-05-02 11:00,2308.600,2314.600,2294.300,2313.400
2024-05-02 15:00,2313.500,2318.700,2306.400,2317.400
2024-05-02 19:00,2317.300,2317.500,2310.100,2313.500
2024-05-03 00:00,2313.400,2315.600,2308.600,2310.900
2024-05-03 04:00,2311.300,2317.600,2306.400,2308.000
2024-05-03 08:00,2307.900,2311.600,2304.800,2307.000
2024-05-03 12:00,2307.100,2330.700,2285.200,2302.300
2024-05-03 16:00,2302.400,2312.000,2301.400,2310.200
2024-05-03 20:00,2310.300,2314.600,2300.600,2304.900
2024-05-06 01:00,2304.800,2324.500,2304.400,2318.100
2024-05-06 05:00,2318.000,2333.100,2317.700,2327.100
2024-05-06 09:00,2327.200,2339.200,2322.900,2332.100
2024-05-06 13:00,2332.000,2341.900,2326.300,2334.300
2024-05-06 17:00,2334.200,2337.400,2329.700,2332.900
2024-05-06 22:00,2334.800,2338.600,2330.900,2331.500
2024-05-07 02:00,2331.400,2333.500,2328.200,2329.700
2024-05-07 06:00,2329.600,2330.900,2320.000,2322.200
2024-05-07 10:00,2322.100,2332.500,2318.200,2326.900
2024-05-07 14:00,2327.000,2331.100,2319.300,2322.300
2024-05-07 18:00,2322.300,2325.200,2320.000,2322.500
2024-05-07 23:00,2322.400,2325.100,2314.100,2324.800
2024-05-08 03:00,2324.800,2329.600,2321.200,2322.600
2024-05-08 07:00,2322.500,2324.900,2311.400,2323.200
2024-05-08 11:00,2323.400,2327.100,2314.200,2323.500
2024-05-08 15:00,2323.400,2329.000,2319.100,2320.500
2024-05-08 19:00,2320.500,2320.600,2315.000,2315.800
2024-05-09 00:00,2315.900,2320.200,2314.600,2319.400
2024-05-09 04:00,2319.300,2326.500,2313.400,2315.900
2024-05-09 08:00,2315.700,2323.400,2312.900,2322.400
2024-05-09 12:00,2322.600,2345.800,2318.000,2337.200
2024-05-09 16:00,2337.300,2351.200,2335.800,2350.600
